mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	0	4/4	2	1	1/4	1/4	1		2	38	D2	2	4
1	1	0	0	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	0
1	1	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	5
1	1	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	1
1	1	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		7	49	C#3	3	6
1	1	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	2
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	7
1	1	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	3
2	2	4	4	2.0	0	0	4/4	2	1	1/2	1/2	1		1	43	G2	2	10
2	2	4	4	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	8
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	50	D3	3	11
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	9
3	3	8	8	1.0	0	0	4/4	2	1	1/4	1/4	1		4	52	E3	3	16
3	3	8	8	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	12
3	3	9	9	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		6	54	F#3	3	17
3	3	9	9	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	13
3	3	10	10	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	55	G3	3	18
3	3	10	10	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	64	E4	4	14
3	3	11	11	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	19
3	3	11	11	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	15
4	4	12	12	4.0	0	0	4/4	2	1	1	1	1		2	50	D3	3	21
4	4	12	12	4.0	0	0	4/4	1	1	1	1	1		2	62	D4	4	20
5	5	16	16	1.0	0	0	4/4	2	1	1/4	1/4	1		2	50	D3	3	26
5	5	16	16	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	22
5	5	17	17	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	27
