mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		3	45	A2	2	1
1	0	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	0
2	1	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		0	48	C3	3	6
2	1	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	2
2	1	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		5	47	B2	2	7
2	1	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	3
2	1	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	45	A2	2	8
2	1	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	4
2	1	4	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	9
2	1	4	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	5
3	2	5	5	1.0	0	0	4/4	2	1	1/4	1/4	1		-1	53	F3	3	16
3	2	5	5	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	10
3	2	6	6	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	17
3	2	6	6	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		5	71	B4	4	11
3	2	13/2	13/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	12
3	2	7	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	52	E3	3	18
3	2	7	7	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		8	68	G#4	4	13
3	2	15/2	15/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	14
3	2	8	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	40	E2	2	19
3	2	8	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	15
4	3	10	10	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	48	C3	3	23
4	3	10	10	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	20
4	3	11	11	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	43	G2	2	24
4	3	11	11	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	21
4	3	12	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	25
4	3	12	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4	22
5	4	13	13	1.0	0	0	4/4	2	1	1/4	1/4	1		3	45	A2	2	30
5	4	13	13	1.0	0	0	4/4	1	1	1/4	1/4	1		4	64	E4	4	26
5	4	14	14	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-1	53	F3	3	31
5	4	14	14	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	27
