mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	0						
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	7			
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	1						
1	1	0	0	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	6			
1	1	0	0	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	2						
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/2	6			
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	3						
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	4						
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	5						
2	2	4	4	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	6			
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	6						
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	7						
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	8						
3	3	8	8	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	9						
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	10						
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6			
3	3	10	10	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	11						
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	12						
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	13						0
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	14						
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	15						1
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	16						
4	4	12	12	0.0	0	0	FiguredBass	4/4	1	1	0						1	4			
4	4	12	12	4.0	0	0	Chord	4/4	1	1	1		1	1	17						
4	4	12	12	0.0	0	0	FiguredBass	4/4	2	1	0						1	3			
4	4	12	12	4.0	0	0	Chord	4/4	2	1	1		1	1	18						
4	4	16	16	0.0	1	1	FiguredBass	4/4	2	1	0						1	3			
5	5	16	16	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	8			
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	19						
5	5	18	18	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	7			
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	20						
5	5	16	16	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	6			
5	5	16	16	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	21						
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	22						
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	23						
6	6	20	20	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	5	3		
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	24						
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	6			
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	25						
6	6	20	20	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	6			
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	26						
6	6	21	21	0.0	1/4	1/4	FiguredBass	4/4	2	1	0						1/4	6	4		
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	27						
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	28						
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	29						
7	7	24	24	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6	5		
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	30						
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	4	2		
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	31						
7	7	28	28	0.0	1	1	FiguredBass	4/4	1	1	0						1/2	6			
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	32						
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	33						2
