mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	thoroughbass_level_4
1	1	1	1	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	0					
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	1					
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	2					
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	3					
1	1	1	1	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/8	1	3	8	
1	1	1	1	3.0	1/4	1/4	Chord	4/4	2	1	3/4	1/2	3/2	4					
1	1	3/2	3/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0				1/8	2	4	_	
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/8	3	5	_	
1	1	5/2	5/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0				1/8	_	8	_	
1	1	3	3	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/8	_	6	_	
1	1	7/2	7/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0				1/8	_	5	7	
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	5					
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	6					
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	7					
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	8					
2	2	4	4	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	4h	2		
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	9					
2	2	5	5	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6			
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	10					
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	7			
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	11					
2	2	7	7	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/8	8	h		
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	12					
2	2	15/2	15/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0				1/8	7			
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	13					
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	14					
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	15					
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	16					
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	17					
3	3	9	9	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/8	8			
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	18					
3	3	19/2	19/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0				1/8	b7			
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/8	6	4		
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	19					
3	3	21/2	21/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0				1/8	6h			
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	20					
3	3	11	11	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/2	6			
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	21					
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	22					
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	23					
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	24					
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	25					
4	4	12	12	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	26					
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	27					
4	4	13	13	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6			
4	4	13	13	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	28					
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	29					
4	4	14	14	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6	5		
4	4	14	14	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	30					
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	31					
4	4	15	15	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/8	8			
4	4	15	15	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	32					
4	4	31/2	31/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0				1/8	7			
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	33					
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	34					
5	5	16	16	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	35					
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	36					
6	6	22	22	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	37					
6	6	23	23	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	38					
6	6	43/2	43/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0				1/8	4	3	6h	
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	39					
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	3			
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	40					
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	41					
6	6	23	23	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				3/4	6\			
6	6	23	23	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	42					
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	43					
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	44					
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	45					
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	46					
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	47					
7	7	24	24	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	48					
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	49					
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	50					
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	51					
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6	5	b	
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	52					
7	7	27	27	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/8	5	#	5	
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	53					
7	7	55/2	55/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0				1/8	_	_	b7	
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	54					
8	8	29	29	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	55					
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	56					
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	57					
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	58					
8	8	29	29	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	h			
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	59					
8	8	30	30	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	60					
8	8	61/2	61/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0				1/8	_			
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	61					
8	8	31	31	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/8	3			
8	8	31	31	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	62					
8	8	63/2	63/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0				1/8	3			
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	63					
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	64					
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	65					
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	66					
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	67					
9	9	32	32	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	68					
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	69					
9	9	34	34	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6	4		
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	70					
9	9	35	35	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/8	8	5	#	
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	71					
9	9	71/2	71/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0				1/8	7			
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	72					
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	73					
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	74					
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	75					
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	76					
10	10	37	37	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	#			
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	77					
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	78					
10	10	39	39	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/8	6			
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	79					
10	10	79/2	79/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0				1/8	5			
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	80					
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	81					
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	82					
11	11	40	40	0.0	0	0	FiguredBass	4/4	2	1	0				1/8	3	7	3	
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	83					
11	11	81/2	81/2	0.0	1/8	1/8	FiguredBass	4/4	2	1	0				1/8	_	_	2	
11	11	41	41	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	7			
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	84					
11	11	42	42	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/2	3			
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	85					
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	86					
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	87					
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	88					
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	89					
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	90					
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	91					
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	92					
12	12	47	47	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/8	8			
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	93					
12	12	95/2	95/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0				1/8	b7			
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	94					
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	95					
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	96					
13	13	48	48	0.0	0	0	FiguredBass	4/4	2	1	0				1/8	3	5	3	
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	97					
13	13	97/2	97/2	0.0	1/8	1/8	FiguredBass	4/4	2	1	0				1/8	6h	4		
13	13	49	49	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/8	3			
13	13	49	49	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	98					
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	99					
13	13	50	50	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/8	6	5		
13	13	50	50	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	100					
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	101					
13	13	51	51	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/8	8	b		
13	13	51	51	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	102					
13	13	103/2	103/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0				1/8	7	_		
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	103					
14	14	52	52	4.0	0	0	Chord	4/4	1	1	1	1	1	104					
14	14	52	52	0.0	0	0	FiguredBass	4/4	2	1	0				1/8	8	b7	3	
14	14	52	52	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	105					
14	14	105/2	105/2	0.0	1/8	1/8	FiguredBass	4/4	2	1	0				1/16	_	6	8_	5
14	14	211/4	211/4	0.0	3/16	3/16	FiguredBass	4/4	2	1	0				1/16	_	5_		
14	14	53	53	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/8	_	6	4	
14	14	107/2	107/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0				1/8	_	_	_	
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	106					
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	_	_	_	
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	107					
14	14	55	55	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/8	_	5	3	
14	14	111/2	111/2	0.0	7/8	7/8	FiguredBass	4/4	2	1	0				1/8	_	4	2	
15	15	56	56	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	108					
15	15	56	56	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	_	5	3	
