mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	0					
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	1					
1	1	0	0	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	2					
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	3					
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	4					
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	5					
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	6					
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	7					
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	8					
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	9					
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	10					
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/2	#			
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	11					
4	4	12	12	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	12					
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	13					
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	14					
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	15					
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	16					
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	17					
5	5	16	16	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	18					
5	5	18	18	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/2	6	5		
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	19					
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	20					
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	21					
6	6	20	20	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	22					
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	5	#		
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	23					
6	6	23	23	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	7			
7	7	24	24	4.0	0	0	Chord	4/4	1	1	1	1	1	24					
7	7	24	24	4.0	0	0	Chord	4/4	2	1	1	1	1	25					
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	26					
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	27					
8	8	28	28	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	5			
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	28					
8	8	29	29	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6\			
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	29					
9	9	32	32	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	30					
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	31					
9	9	32	32	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	32					
9	9	34	34	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/2	6	5		
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	33					
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	34					
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	35					
10	10	36	36	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	36					
10	10	38	38	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/2	#			
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	37					
11	11	40	40	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	38					
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	39					
11	11	40	40	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	40					
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	41					
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	42					
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	43					
12	12	44	44	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	44					
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/2	6	h		
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	45					
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	46					
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	47					
13	13	48	48	0.0	0	0	FiguredBass	4/4	2	1	0				1/2	6	4		
13	13	48	48	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	48					
13	13	50	50	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	5	#		
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	49					
13	13	51	51	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	7			
14	14	52	52	4.0	0	0	Chord	4/4	1	1	1	1	1	50					
14	14	52	52	4.0	0	0	Chord	4/4	2	1	1	1	1	51					
15	15	56	56	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	52					
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	53					
15	15	56	56	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	h			
15	15	56	56	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	54					
15	15	58	58	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	5			
15	15	58	58	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	55					
15	15	59	59	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	6\			
16	16	60	60	4.0	0	0	Chord	4/4	1	1	1	1	1	56					
16	16	60	60	4.0	0	0	Chord	4/4	2	1	1	1	1	57					
17	17	64	64	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	58					
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	59					
17	17	64	64	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	60					
17	17	66	66	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/2	6			
17	17	66	66	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	61					
18	18	68	68	4.0	0	0	Chord	4/4	1	1	1	1	1	62					
18	18	68	68	4.0	0	0	Chord	4/4	2	1	1	1	1	63					
19	19	72	72	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	64					
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	65					
19	19	72	72	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	66					
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	67					
20	20	76	76	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	68					
20	20	78	78	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	69					
20	20	76	76	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	70					
20	20	78	78	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	71					
21	21	80	80	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	72					
21	21	82	82	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	73					
21	21	80	80	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	6	5	h	
21	21	80	80	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	74					
21	21	82	82	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	8	#		
21	21	82	82	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	75					
21	21	83	83	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	7			
22	22	84	84	4.0	0	0	Chord	4/4	1	1	1	1	1	76					
22	22	84	84	4.0	0	0	Chord	4/4	2	1	1	1	1	77					
23	23	88	88	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	78					
23	23	90	90	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	79					
23	23	88	88	0.0	0	0	FiguredBass	4/4	2	1	0				1/2	h			
23	23	88	88	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	80					
23	23	90	90	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/2	6			
23	23	90	90	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	81					
24	24	92	92	4.0	0	0	Chord	4/4	1	1	1	1	1	82					
24	24	92	92	4.0	0	0	Chord	4/4	2	1	1	1	1	83					
25	25	96	96	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	84					
25	25	98	98	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	85					
25	25	96	96	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	5			
25	25	96	96	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	86					
