mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	6		
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	0				
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						5		
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						5		
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	5__	3__	
1	1	2	2	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	1				
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	2				
1	1	0	0	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	3				
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	4				0
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	5				
2	2	4	4	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	_	_	
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	6				
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2		6__	
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2		_	
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	7				
2	2	8	8	0.0	1	1	FiguredBass	4/4	1	1	0					1/2	6		
2	2	4	4	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	7		
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	8				1
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	9				
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	10				2
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	11				
3	3	8	8	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	5	3	
3	3	8	8	0.0	0	0	Chord	4/4	1	1	0	grace4	1/4	1	12				
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	13				
3	3	10	10	0.0	1/2	1/2	Chord	4/4	1	1	0	grace4	1/4	1	14				
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	15				
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	16				3
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	17				3
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	18				
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	19				4
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	20				
4	4	12	12	0.0	0	0	FiguredBass	4/4	1	1	0					1	4		
4	4	12	12	4.0	0	0	Chord	4/4	1	1	1		1	1	21				
4	4	12	12	0.0	0	0	FiguredBass	4/4	2	1	0					1	3		
4	4	12	12	4.0	0	0	Chord	4/4	2	1	1		1	1	22				
4	4	16	16	0.0	1	1	FiguredBass	4/4	2	1	0					1	3		
5	5	16	16	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	5__	3__	
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	23				
5	5	18	18	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	_	_	
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	24				
5	5	20	20	0.0	1	1	FiguredBass	4/4	1	1	0					1/2	6		
5	5	16	16	0.0	0	0	FiguredBass	4/4	2	1	0					1/4	6	5h	
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	25				5
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	26				
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	27				6
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	28				
6	6	20	20	0.0	0	0	FiguredBass	4/4	1	1	0					1/2	9		
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	29				
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	1	1	0					1/2	6	4	
