mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	8__	3__		
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	0							
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	_	_		
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	1							
1	1	4	4	0.0	1	1	FiguredBass	4/4	1	1	0						1/2	6__			
1	1	0	0	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	_			
1	1	0	0	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	2							
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	3							
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	4							
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	5							
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	6							
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	7							
2	2	4	4	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	6			
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	8							
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	9							
3	3	8	8	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6			
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	10							
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	11							
3	3	8	8	0.0	0	0	FiguredBass	4/4	2	1	0						1/2	6	4		
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	12							
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	13							
4	4	12	12	0.0	0	0	FiguredBass	4/4	1	1	0						1	6__	5__		
4	4	12	12	4.0	0	0	Chord	4/4	1	1	1	1	1	14							
4	4	12	12	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	_	_		
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	15							
4	4	13	13	0.0	1/4	1/4	FiguredBass	4/4	2	1	0						1/4		7__		
4	4	13	13	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	16							0
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	17							0
4	4	14	14	0.0	1/2	1/2	FiguredBass	4/4	2	1	0						1/4	_	_		
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	18							
4	4	15	15	0.0	3/4	3/4	FiguredBass	4/4	2	1	0						1/4	#3__	8		
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	19							
4	4	16	16	0.0	1	1	FiguredBass	4/4	2	1	0						1/4		7__		
5	5	16	16	0.0	0	0	FiguredBass	4/4	1	1	0						1	8	3		
5	5	16	16	4.0	0	0	Chord	4/4	1	1	1	1	1	20							
5	5	16	16	4.0	0	0	Chord	4/4	2	1	1	1	1	21							
6	6	20	20	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	3__	5__		
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	22							
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	_	_		
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	23							
6	6	24	24	0.0	1	1	FiguredBass	4/4	1	1	0						1/2	6__			
6	6	20	20	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	_			
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	24							1
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	25							
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	26							2
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	27							
7	7	24	24	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	5__	3__		
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	28							
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	29							
7	7	24	24	0.0	0	0	FiguredBass	4/4	2	1	0						1/4	_	_		
7	7	24	24	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	30							
7	7	25	25	0.0	1/4	1/4	FiguredBass	4/4	2	1	0						1/4	6	5		
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	31							
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	32							
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	33	0						
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	34							
8	8	28	28	0.0	0	0	FiguredBass	4/4	1	1	0						1/2	6	4		
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	35							
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	1	1	0						1/2	5	3	7	
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	36							
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	37							
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	38							
9	9	32	32	0.0	0	0	FiguredBass	4/4	1	1	0						1	8	3		
